Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
135,Bruno Fernando,C,25,ATL,13,0,6.5,1.1,2.1,.519,0.0,0.2,.000,1.1,1.8,.583,.519,0.8,1.5,.526,0.5,1.5,2.0,0.3,0.2,0.4,0.5,0.9,2.9,2024
136,Dorian Finney-Smith,PF,30,BRK,39,28,28.4,3.3,8.0,.410,2.1,5.4,.386,1.2,2.6,.461,.540,0.3,0.4,.813,1.8,3.1,4.9,1.2,0.7,0.6,0.7,2.2,9.0,2024
137,Malachi Flynn,PG,25,TOT,38,0,13.3,1.6,3.9,.409,0.8,2.3,.341,0.8,1.6,.508,.510,0.6,0.7,.750,0.3,1.4,1.8,2.0,0.5,0.2,0.9,1.2,4.6,2024
137,Malachi Flynn,PG,25,TOR,31,0,15.3,1.8,4.4,.409,0.9,2.6,.350,0.9,1.8,.491,.511,0.5,0.7,.773,0.4,1.7,2.1,2.4,0.6,0.2,1.1,1.4,5.1,2024
137,Malachi Flynn,PG,25,NYK,7,0,4.4,0.7,1.7,.417,0.3,1.1,.250,0.4,0.6,.750,.500,0.6,0.9,.667,0.0,0.4,0.4,0.6,0.1,0.0,0.3,0.4,2.3,2024
138,Simone Fontecchio,SF,28,UTA,42,26,22.8,3.2,7.1,.450,1.8,4.6,.390,1.4,2.5,.563,.577,0.7,0.9,.784,1.0,2.4,3.3,1.4,0.6,0.4,1.1,1.7,8.9,2024
139,Jordan Ford,PG,25,SAC,6,0,3.7,0.7,1.2,.571,0.3,0.5,.667,0.3,0.7,.500,.714,0.3,0.3,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.0,2.0,2024
140,Trent Forrest,SG,25,ATL,17,0,10.6,0.9,2.6,.333,0.1,0.4,.333,0.8,2.3,.333,.356,0.5,0.6,.800,0.3,1.2,1.5,1.8,0.3,0.1,0.5,0.9,2.4,2024
141,Evan Fournier,SG,31,NYK,3,0,13.0,1.3,6.7,.200,0.7,5.0,.133,0.7,1.7,.400,.250,0.7,0.7,1.000,0.0,1.3,1.3,1.0,1.3,0.0,0.3,1.3,4.0,2024
142,De'Aaron Fox,PG,26,SAC,36,36,35.6,9.8,21.0,.465,3.2,8.1,.390,6.6,12.9,.512,.540,4.8,6.7,.717,0.9,3.3,4.1,5.6,1.6,0.4,2.5,2.5,27.4,2024
143,Javon Freeman-Liberty,PG,24,TOR,1,0,2.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2024
144,Alex Fudge,SF,20,LAL,4,0,3.5,0.3,1.5,.167,0.0,0.5,.000,0.3,1.0,.250,.167,0.5,0.5,1.000,0.5,0.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0,2024
