Player,G,MP,TRB,AST,STL,BLK,TOV,PTS,FantasyPoints
Steven Adams,7.0,23.2,9.0,1.7,0.4,0.2,1.4,6.8,20.3
Svi Mykhailiuk,3.0,1.7,0.3,0.0,0.0,0.0,0.0,0.3,0.7
T.J. Leaf,3.0,2.3,1.0,0.0,0.0,0.0,0.0,2.0,3.2
T.J. McConnell,3.0,9.3,2.0,2.3,0.0,0.0,0.7,2.3,7.4
T.J. Warren,5.0,26.2,3.8,1.8,1.2,0.4,1.5,11.4,21.9
Tacko Fall,1.5,1.2,0.8,0.0,0.0,0.0,0.0,0.8,1.6
Taj Gibson,5.0,27.6,7.0,0.8,1.6,1.0,0.6,5.0,21.8
Talen Horton-Tucker,3.0,10.2,3.0,0.2,0.6,0.0,0.4,6.8,12.3
Taurean Prince,5.0,16.5,1.5,1.0,0.5,0.2,0.9,6.9,11.4
Terance Mann,12.3,16.2,2.1,1.0,0.5,0.2,0.7,6.2,11.4
Terence Davis,5.0,14.2,2.2,1.4,0.2,0.0,0.8,6.6,11.3
Terrance Ferguson,4.0,10.5,1.0,0.3,0.3,0.0,0.3,1.5,3.8
Terrence Ross,5.5,19.2,2.8,0.6,0.5,0.2,0.9,10.0,15.7
Thaddeus Young,6.0,14.5,3.0,1.7,0.8,0.2,0.5,3.3,12.0
Thanasis Antetokounmpo,7.7,2.8,0.4,0.1,0.2,0.1,0.1,0.4,1.7
Thomas Bryant,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Hardaway Jr.,6.5,35.7,3.4,1.6,0.4,0.0,0.7,17.4,24.2
Timothé Luwawu-Cabarrot,5.0,14.0,1.7,0.8,0.3,0.0,0.8,6.1,9.3
Tobias Harris,9.8,37.0,8.2,3.0,0.8,0.5,1.2,17.4,34.5
Tony Bradley,4.0,6.0,2.9,0.4,0.2,0.2,0.4,3.2,7.8
Tony Snell,9.0,7.3,0.6,0.2,0.2,0.1,0.4,0.6,2.1
Torrey Craig,15.2,14.0,2.6,0.6,0.3,0.3,0.4,4.3,9.6
Trae Young,9.0,37.7,3.8,8.6,1.2,0.2,4.7,24.5,41.5
Tremont Waters,2.0,2.0,0.5,0.8,0.2,0.0,0.4,0.6,2.6
Trent Forrest,4.0,2.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Trevor Ariza,4.0,24.0,5.8,0.5,0.8,0.3,0.8,4.8,15.0
Trey Burke,6.0,12.7,1.3,1.0,0.5,0.1,0.4,5.3,9.7
Trey Lyles,7.0,16.9,5.7,0.7,0.3,0.0,0.4,6.6,15.0
Trey Murphy III,6.0,20.0,2.5,0.5,0.5,0.2,0.2,5.2,10.8
Tristan Thompson,5.3,13.1,4.4,0.6,0.3,0.4,0.7,4.3,11.9
Troy Brown Jr.,7.5,11.3,2.4,1.0,0.4,0.0,0.5,2.9,8.1
Troy Daniels,6.0,5.0,0.5,0.3,0.0,0.0,0.0,2.7,3.8
Ty-Shon Alexander,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Tyler Cook,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.4
Tyler Herro,10.2,25.3,3.6,2.6,0.3,0.4,1.4,12.5,21.6
Tyler Johnson,6.0,16.0,1.3,1.4,0.2,0.2,0.4,8.0,12.1
Tyrese Maxey,11.7,30.6,3.4,2.5,0.8,0.4,1.0,15.9,26.4
Tyson Chandler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyus Jones,7.7,17.1,2.6,3.1,0.9,0.1,0.8,5.6,15.4
Udoka Azubuike,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2
Udonis Haslem,2.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.6
Vic Law,1.0,4.0,2.0,1.0,0.0,0.0,0.0,3.0,6.9
Victor Oladipo,7.0,25.9,3.4,1.9,1.5,0.3,2.1,13.3,23.5
Vincent Poirier,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,4.5
Vlatko Čančar,4.0,3.6,0.7,0.3,0.1,0.1,0.4,1.6,2.9
Wendell Moore Jr.,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
Wenyen Gabriel,7.0,8.5,1.7,0.5,0.4,0.4,0.8,3.2,7.4
Wes Iwundu,5.0,15.2,2.2,0.8,0.6,0.4,0.6,4.2,10.4
Wesley Matthews,7.5,23.0,2.0,0.7,0.8,0.3,0.3,6.2,12.6
Will Barton,4.0,31.0,4.9,2.8,0.8,0.2,1.6,15.0,26.5
Willie Cauley-Stein,6.0,10.5,2.7,0.5,0.3,0.7,0.5,2.5,9.0
Willy Hernangómez,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,4.4
Xavier Tillman Sr.,6.0,17.3,4.1,1.4,0.6,0.3,0.7,4.6,13.4
Yogi Ferrell,9.0,1.7,0.3,0.3,0.0,0.0,0.0,0.4,1.2
Yuta Watanabe,2.5,3.8,0.5,0.0,0.0,0.0,0.6,2.0,2.0
Zach LaVine,4.0,38.3,5.3,6.0,0.8,0.3,3.0,19.3,35.0
Zeke Nnaji,4.0,3.5,0.3,0.1,0.1,0.0,0.1,1.6,2.5
Ziaire Williams,7.0,9.9,1.0,0.5,0.2,0.0,0.4,4.1,6.5
